Volumenindex des Auftragseingangs, Tiefbau
Datum;Originalwert, 2021=100;Originalwert, Veränderung gegenüber Vorjahresmonat in %;Trend-Konjunktur-Komponente (BV 4.1), 2021=100;Trend-Konjunktur-Komponente (BV 4.1), Veränderung gegenüber Vormonat in %;Kalender- und saisonbereinigte Werte (BV 4.1), 2021=100;Kalender- und saisonbereinigte Werte (BV 4.1), Veränderung gegenüber Vormonat in %;Restkomponente (BV 4.1)
01/05/2010;85,2;-1,8;78,4;-0,8;79,3;3,3;0,8
01/06/2010;93,9;-11,0;77,9;-0,7;75,3;-5,0;-2,5
01/07/2010;89,8;-9,3;77,5;-0,5;73,5;-2,4;-4,0
01/08/2010;80,5;-7,9;77,3;-0,2;77,0;4,8;-0,3
01/09/2010;90,3;-3,4;77,2;-0,1;78,6;2,0;1,4
01/10/2010;80,9;-1,1;77,2;-0,1;82,0;4,4;4,8
01/11/2010;63,6;1,9;77,0;-0,2;77,8;-5,1;0,8
01/12/2010;58,7;-15,9;76,9;-0,2;73,5;-5,5;-3,3
01/01/2011;47,5;-4,4;76,8;-0,0;76,1;3,5;-0,7
01/02/2011;59,1;-11,3;77,0;0,2;74,7;-1,9;-2,3
01/03/2011;95,1;-1,7;77,1;0,1;78,1;4,6;1,0
01/04/2011;85,9;3,4;77,2;0,2;77,1;-1,2;-0,1
01/05/2011;85,9;0,8;77,4;0,2;76,2;-1,2;-1,2
01/06/2011;89,4;-4,8;77,7;0,4;77,2;1,3;-0,5
01/07/2011;99,9;11,2;78,1;0,5;82,8;7,3;4,8
01/08/2011;84,1;4,5;78,4;0,5;77,9;-6,0;-0,6
01/09/2011;87,8;-2,8;78,8;0,4;78,8;1,1;-0,0
01/10/2011;67,3;-16,8;79,2;0,5;76,1;-3,4;-3,1
01/11/2011;66,7;4,9;79,5;0,4;79,9;5,0;0,4
01/12/2011;65,5;11,6;79,7;0,2;80,9;1,2;1,2
01/01/2012;55,7;17,3;79,5;-0,2;80,8;-0,1;1,3
01/02/2012;68,6;16,1;79,1;-0,5;79,5;-1,6;0,3
01/03/2012;93,4;-1,8;78,8;-0,4;77,9;-2,0;-0,9
01/04/2012;89,1;3,7;78,4;-0,4;81,5;4,7;3,1
01/05/2012;88,6;3,1;78,0;-0,5;80,1;-1,7;2,1
01/06/2012;91,8;2,7;77,5;-0,6;76,7;-4,3;-0,8
01/07/2012;92,2;-7,7;77,1;-0,5;74,2;-3,3;-3,0
01/08/2012;82,6;-1,8;76,9;-0,3;76,2;2,7;-0,7
01/09/2012;78,9;-10,1;76,8;-0,1;76,4;0,3;-0,4
01/10/2012;99,0;47,1;76,8;0,0;107,0;40,1;30,2
