Volumenindex des Auftragseingangs, Bauhauptgewerbe insgesamt
Datum;Originalwert, 2021=100;Originalwert, Veränderung gegenüber Vorjahresmonat in %;Trend-Konjunktur-Komponente (BV 4.1), 2021=100;Trend-Konjunktur-Komponente (BV 4.1), Veränderung gegenüber Vormonat in %;Kalender- und saisonbereinigte Werte (BV 4.1), 2021=100;Kalender- und saisonbereinigte Werte (BV 4.1), Veränderung gegenüber Vormonat in %;Restkomponente (BV 4.1)
01/09/2015;86,8;9,2;81,7;1,5;82,7;2,6;1,0
01/10/2015;76,1;2,7;82,9;1,5;79,9;-3,4;-3,0
01/11/2015;76,1;21,0;84,2;1,6;86,6;8,4;2,4
01/12/2015;79,4;21,4;85,5;1,5;86,6;-0,1;1,1
01/01/2016;67,0;10,4;86,6;1,3;86,5;-0,0;-0,0
01/02/2016;78,0;16,6;87,5;1,1;87,3;0,9;-0,2
01/03/2016;103,5;12,4;88,4;1,0;87,8;0,5;-0,6
01/04/2016;98,6;20,7;89,1;0,8;89,3;1,7;0,1
01/05/2016;98,6;20,4;89,7;0,6;92,0;3,0;2,3
01/06/2016;108,0;20,0;90,0;0,4;91,8;-0,1;1,8
01/07/2016;94,1;9,3;90,3;0,3;89,4;-2,6;-0,9
01/08/2016;88,8;14,9;90,5;0,2;90,7;1,5;0,2
01/09/2016;91,8;5,8;90,7;0,2;90,4;-0,4;-0,3
01/10/2016;88,5;16,3;90,9;0,1;94,3;4,3;3,4
01/11/2016;80,4;5,7;90,7;-0,1;88,9;-5,7;-1,8
01/12/2016;83,8;5,5;90,6;-0,1;86,4;-2,9;-4,3
01/01/2017;71,8;7,2;90,6;0,0;90,1;4,3;-0,5
01/02/2017;80,0;2,6;90,8;0,2;89,1;-1,1;-1,7
01/03/2017;113,8;10,0;91,1;0,3;94,1;5,6;3,0
01/04/2017;98,2;-0,4;91,3;0,3;93,3;-0,9;2,0
01/05/2017;97,5;-1,1;91,7;0,4;89,5;-4,1;-2,2
01/06/2017;105,6;-2,2;92,1;0,5;92,3;3,2;0,2
01/07/2017;97,7;3,8;92,6;0,6;94,0;1,8;1,4
01/08/2017;89,6;0,9;93,1;0,5;92,9;-1,2;-0,2
01/09/2017;91,2;-0,7;93,4;0,4;92,7;-0,2;-0,7
01/10/2017;83,2;-6,0;93,8;0,4;91,5;-1,4;-2,3
01/11/2017;85,3;6,1;94,1;0,3;94,6;3,4;0,5
01/12/2017;99,8;19,1;94,3;0,2;97,4;3,0;3,1
01/01/2018;75,7;5,4;94,5;0,2;93,4;-4,1;-1,1
01/02/2018;90,4;13,0;94,7;0,2;97,2;4,1;2,6
01/03/2018;105,0;-7,7;95,0;0,4;92,3;-5,1;-2,8
01/04/2018;99,9;1,7;95,6;0,6;93,5;1,3;-2,1
01/05/2018;102,2;4,8;96,3;0,8;98,2;5,1;1,9
01/06/2018;107,9;2,2;97,0;0,7;96,8;-1,5;-0,2
01/07/2018;102,5;4,9;97,6;0,7;96,7;-0,0;-0,9
01/08/2018;93,3;4,1;98,3;0,7;98,3;1,6;0,1
01/09/2018;95,9;5,2;98,9;0,6;98,5;0,2;-0,4
01/10/2018;94,9;14,1;99,3;0,4;100,6;2,1;1,3
01/11/2018;91,6;7,4;99,7;0,4;97,8;-2,7;-1,8
01/12/2018;103,7;3,9;99,9;0,2;101,6;3,9;1,7
01/01/2019;84,5;11,6;100,1;0,2;99,6;-2,0;-0,5
01/02/2019;92,2;2,0;100,4;0,2;99,5;-0,1;-0,8
01/03/2019;115,7;10,2;100,5;0,2;102,7;3,2;2,1
01/04/2019;106,2;6,3;100,7;0,2;102,1;-0,5;1,4
01/05/2019;104,5;2,3;100,7;-0,1;101,4;-0,7;0,8
01/06/2019;105,3;-2,4;100,6;-0,1;98,1;-3,3;-2,5
01/07/2019;107,6;5,0;100,5;-0,1;101,8;3,8;1,4
01/08/2019;91,2;-2,3;100,1;-0,3;99,0;-2,7;-1,1
01/09/2019;99,5;3,8;99,7;-0,4;99,7;0,6;-0,0
01/10/2019;94,2;-0,7;99,3;-0,4;97,7;-2,0;-1,6
01/11/2019;97,4;6,3;98,9;-0,4;101,5;3,9;2,6
01/12/2019;99,4;-4,1;98,4;-0,4;97,9;-3,5;-0,5
01/01/2020;88,8;5,1;98,0;-0,4;99,7;1,8;1,7
01/02/2020;89,7;-2,7;97,8;-0,2;96,8;-2,9;-1,0
01/03/2020;107,4;-7,2;97,5;-0,2;97,1;0,3;-0,4
01/04/2020;100,6;-5,3;97,4;-0,1;96,2;-1,0;-1,3
01/05/2020;91,1;-12,8;97,5;0,1;94,1;-2,1;-3,4
01/06/2020;111,6;6,0;97,7;0,1;101,9;8,3;4,2
01/07/2020;101,6;-5,6;97,8;0,1;96,8;-5,0;-1,0
01/08/2020;89,2;-2,2;97,7;-0,1;97,4;0,7;-0,3
01/09/2020;102,5;3,0;97,8;0,1;96,3;-1,2;-1,5
01/10/2020;96,6;2,5;98,0;0,2;99,4;3,2;1,4
01/11/2020;93,3;-4,2;98,1;0,2;99,1;-0,2;1,0
01/12/2020;100,7;1,3;98,4;0,2;97,6;-1,6;-0,8
01/01/2021;86,0;-3,2;98,7;0,3;98,4;0,9;-0,2
01/02/2021;93,5;4,2;98,9;0,2;99,5;1,0;0,6
01/03/2021;105,9;-1,4;99,1;0,2;97,3;-2,2;-1,8
01/04/2021;104,6;4,0;99,2;0,1;100,4;3,1;1,2
01/05/2021;98,6;8,2;99,3;0,1;99,9;-0,4;0,7
01/06/2021;105,8;-5,2;99,2;-0,1;97,1;-2,9;-2,1
01/07/2021;100,4;-1,2;99,1;-0,1;97,7;0,7;-1,3
01/08/2021;96,3;8,0;99,1;-0,0;100,2;2,5;1,1
01/09/2021;110,9;8,2;98,7;-0,4;103,5;3,3;4,8
01/10/2021;95,4;-1,2;98,1;-0,6;97,2;-6,1;-1,0
01/11/2021;87,3;-6,4;97,4;-0,7;95,5;-1,7;-1,9
01/12/2021;114,2;13,4;96,7;-0,7;109,5;14,7;12,8
01/01/2022;83,9;-2,4;95,8;-0,9;97,5;-11,0;1,7
01/02/2022;90,3;-3,4;94,6;-1,2;96,1;-1,4;1,5
01/03/2022;124,9;17,9;93,4;-1,3;114,2;18,8;20,8
01/04/2022;93,4;-10,7;92,0;-1,5;92,3;-19,2;0,3
01/05/2022;96,4;-2,2;90,5;-1,6;92,2;-0,1;1,7
01/06/2022;93,1;-12,0;89,1;-1,6;88,8;-3,7;-0,3
01/07/2022;93,7;-6,7;87,6;-1,7;88,0;-0,8;0,5
01/08/2022;83,8;-13,0;86,2;-1,5;82,9;-5,8;-3,3
01/09/2022;87,1;-21,5;85,1;-1,2;80,5;-2,9;-4,6
01/10/2022;81,9;-14,2;84,5;-0,7;85,2;5,8;0,7
01/11/2022;77,0;-11,8;84,3;-0,3;85,6;0,5;1,4
01/12/2022;88,6;-22,4;84,2;-0,1;84,2;-1,7;-0,0
01/01/2023;68,6;-18,2;84,4;0,3;83,1;-1,3;-1,3
01/02/2023;75,9;-15,9;84,9;0,5;84,0;1,1;-0,8
01/03/2023;100,0;-19,9;85,5;0,7;86,5;2,9;1,0
01/04/2023;82,1;-12,1;86,0;0,7;84,3;-2,5;-1,7
01/05/2023;88,8;-7,9;86,5;0,6;85,2;1,0;-1,3
01/06/2023;92,5;-0,6;87,1;0,7;86,3;1,3;-0,8
01/07/2023;94,9;1,3;87,6;0,5;90,3;4,7;2,7
01/08/2023;98,3;17,3;87,9;0,4;91,9;1,8;4,0
01/09/2023;96,3;10,6;88,0;0,1;92,3;0,4;4,3
01/10/2023;85,3;4,2;87,7;-0,3;88,1;-4,5;0,4
01/11/2023;74,9;-2,7;87,5;-0,3;83,6;-5,1;-3,9
01/12/2023;88,5;-0,1;87,2;-0,3;87,1;4,2;-0,1
01/01/2024;70,1;2,2;86,9;-0,3;85,3;-2,0;-1,6
01/02/2024;78,1;2,9;86,7;-0,3;86,9;1,9;0,2
01/03/2024;95,5;-4,5;86,4;-0,3;86,3;-0,7;-0,1
01/04/2024;89,4;8,9;86,3;-0,2;86,9;0,7;0,7
01/05/2024;88,6;-0,2;86,2;-0,1;86,7;-0,3;0,5
01/06/2024;93,9;1,5;86,2;-0,0;87,6;1,1;1,4
