Volumenindex des Umsatzes im Verarbeitenden Gewerbe, aktueller Monat vorläufig
Datum;Verarbeitendes Gewerbe, 2021=100;Vorleistungsgüter, 2021=100;Investitionsgüter, 2021=100;Gebrauchsgüter, 2021=100;Verbrauchsgüter, 2021=100
01/02/2023;97,5;93,8;103,8;97,7;91,7
01/03/2023;115,1;107,7;125,4;118,1;107,9
01/04/2023;91,8;87,2;96,6;89,8;90,0
01/05/2023;101,9;95,1;109,8;97,5;98,2
01/06/2023;107,4;99,0;118,5;103,5;100,9
01/07/2023;95,0;89,1;100,4;85,8;94,8
01/08/2023;95,0;91,5;95,6;91,1;99,4
01/09/2023;102,8;93,1;114,1;98,7;98,2
01/10/2023;98,3;90,7;105,1;92,7;98,1
01/11/2023;105,0;94,2;117,5;98,7;101,4
01/12/2023;95,2;73,5;116,4;79,6;92,6
01/01/2024;89,7;89,5;88,2;82,6;94,3
01/02/2024;96,4;91,8;101,6;92,5;94,8
01/03/2024;99,4;92,7;106,2;90,6;98,9
01/04/2024;99,4;93,4;105,5;96,1;97,4
01/05/2024;93,2;87,3;97,7;83,6;95,0
01/06/2024;98,0;90,6;106,2;92,3;93,5
01/07/2024;96,5;90,1;101,2;86,8;98,7
01/08/2024;87,6;82,3;89,2;76,7;94,5
01/09/2024;98,2;87,7;107,6;92,0;96,8
01/10/2024;97,7;91,1;104,8;90,7;100,0
01/11/2024;98,9;88,1;111,4;92,2;96,4
01/12/2024;90,1;71,5;106,8;76,8;90,7
01/01/2025;86,9;87,2;84,0;78,3;95,1
01/02/2025;91,4;86,7;96,7;84,4;91,1
01/03/2025;101,9;93,9;110,6;93,5;101,4
01/04/2025;94,6;87,9;101,0;89,6;96,2
01/05/2025;93,5;86,5;99,8;86,5;94,5
01/06/2025;94,9;86,6;104,2;86,1;92,8
01/07/2025;96,7;89,0;102,5;85,6;100,9
01/08/2025;82,3;77,7;83,2;72,0;90,8
01/09/2025;99,0;89,0;108,6;92,7;99,8
01/10/2025;96,8;89,2;102,7;91,2;99,8
01/11/2025;98,3;85,3;110,6;88,8;95,5
01/12/2025;92,0;72,6;109,5;77,8;93,5
01/01/2026;84,7;81,6;84,1;75,7;91,1
01/02/2026;90,0;84,1;95,3;80,9;90,4
01/03/2026;105,2;95,9;114,3;98,2;103,0
