datum,originalwert_messzahlen_2015100,originalwert_vernderung_gegenber_vorjahresmonat_in_,trendkonjunkturkomponente_bv_41_messzahlen_2015100,trendkonjunkturkomponente_bv_41_vernderung_gegenber_vormonat_in_,kalender_und_saisonbereinigte_werte_bv_41_messzahlen_2015100,kalender_und_saisonbereinigte_werte_bv_41_vernderung_gegenber_vormonat_in_,restkomponente_bv_41
01/11/2005,94.2,1.3,89.2,0.1,89.0,-0.4,-0.2
01/12/2005,108.1,0.8,89.3,0.1,89.6,0.7,0.3
01/01/2006,82.6,2.6,89.4,0.1,89.7,0.0,0.2
01/02/2006,78.1,1.3,89.5,0.1,89.5,-0.2,-0.1
01/03/2006,91.2,0.3,89.6,0.1,87.9,-1.7,-1.6
01/04/2006,88.9,-1.7,89.6,0.1,89.9,2.3,0.3
01/05/2006,91.4,4.9,89.7,0.0,90.4,0.5,0.7
01/06/2006,87.7,0.2,89.7,-0.0,90.1,-0.3,0.4
01/07/2006,86.9,0.6,89.6,-0.1,89.9,-0.2,0.3
01/08/2006,88.2,1.6,89.5,-0.1,89.8,-0.1,0.3
01/09/2006,87.6,-0.6,89.4,-0.1,89.7,-0.2,0.3
01/10/2006,91.1,0.4,89.3,-0.2,88.7,-1.0,-0.5
01/11/2006,94.7,0.5,89.1,-0.1,89.5,0.9,0.4
01/12/2006,110.1,1.9,89.0,-0.2,94.2,5.2,5.2
01/01/2007,80.6,-2.4,88.8,-0.2,87.8,-6.8,-1.0
01/02/2007,77.2,-1.2,88.7,-0.1,88.0,0.2,-0.7
01/03/2007,92.5,1.4,88.6,-0.1,90.0,2.4,1.4
01/04/2007,88.6,-0.3,88.5,-0.1,89.1,-1.1,0.5
01/05/2007,87.2,-4.6,88.5,-0.0,87.2,-2.1,-1.3
01/06/2007,86.5,-1.4,88.6,0.1,89.4,2.5,0.8
01/07/2007,85.7,-1.4,88.7,0.1,87.9,-1.6,-0.7
01/08/2007,87.2,-1.1,88.8,0.1,88.6,0.7,-0.2
01/09/2007,85.3,-2.6,89.0,0.2,88.3,-0.4,-0.7
01/10/2007,93.3,2.4,89.2,0.2,89.1,1.0,-0.0
01/11/2007,93.9,-0.8,89.4,0.2,89.0,-0.1,-0.3
01/12/2007,103.8,-5.7,89.6,0.2,89.1,0.1,-0.5
01/01/2008,84.1,4.3,89.9,0.3,90.6,1.7,0.8
01/02/2008,82.5,6.9,90.1,0.3,91.7,1.3,1.6
01/03/2008,88.4,-4.4,90.3,0.2,90.5,-1.4,0.2
01/04/2008,91.4,3.2,90.4,0.2,88.7,-1.9,-1.7
01/05/2008,91.4,4.8,90.5,0.1,91.8,3.5,1.3
01/06/2008,86.1,-0.5,90.5,-0.0,89.3,-2.8,-1.2
01/07/2008,90.1,5.1,90.4,-0.1,90.6,1.4,0.1
01/08/2008,87.0,-0.2,90.3,-0.1,90.7,0.2,0.4
01/09/2008,90.7,6.3,90.1,-0.3,91.0,0.3,0.9
01/10/2008,95.2,2.0,89.8,-0.3,90.2,-0.9,0.4
01/11/2008,92.0,-2.0,89.5,-0.4,90.1,-0.1,0.6
01/12/2008,107.0,3.1,89.1,-0.4,89.8,-0.4,0.7
01/01/2009,81.3,-3.3,88.7,-0.4,88.9,-1.0,0.2
01/02/2009,75.8,-8.1,88.3,-0.5,87.0,-2.1,-1.2
01/03/2009,86.4,-2.3,87.9,-0.4,85.8,-1.4,-2.1
01/04/2009,90.6,-0.9,87.6,-0.3,89.5,4.2,1.8
01/05/2009,86.3,-5.6,87.3,-0.4,86.9,-2.8,-0.4
01/06/2009,82.9,-3.7,87.0,-0.4,86.8,-0.1,-0.1
01/07/2009,87.5,-2.9,86.8,-0.2,86.4,-0.5,-0.4
01/08/2009,82.4,-5.3,86.7,-0.1,86.6,0.2,-0.1
01/09/2009,85.8,-5.4,86.8,0.0,86.4,-0.3,-0.4
01/10/2009,92.2,-3.2,86.9,0.2,87.1,0.8,0.2
01/11/2009,88.7,-3.6,87.2,0.3,86.4,-0.8,-0.8
01/12/2009,105.3,-1.6,87.4,0.3,87.6,1.4,0.1
01/01/2010,78.1,-3.9,87.8,0.3,87.6,0.0,-0.2
01/02/2010,76.9,1.5,88.1,0.4,88.1,0.6,0.0
01/03/2010,93.2,7.9,88.3,0.3,90.5,2.8,2.2
01/04/2010,88.4,-2.4,88.6,0.2,86.7,-4.2,-1.8
01/05/2010,87.3,1.2,88.8,0.3,88.8,2.4,0.0
01/06/2010,88.1,6.3,89.1,0.3,89.7,1.0,0.6
01/07/2010,91.4,4.5,89.3,0.2,90.4,0.8,1.2
01/08/2010,85.6,3.9,89.4,0.2,89.1,-1.5,-0.4
01/09/2010,88.6,3.3,89.6,0.2,89.5,0.5,-0.1
01/10/2010,93.1,1.0,89.8,0.2,89.6,0.0,-0.2
01/11/2010,93.6,5.5,90.0,0.2,90.2,0.7,0.3
01/12/2010,107.4,2.0,90.2,0.2,89.6,-0.7,-0.6
01/01/2011,81.4,4.2,90.3,0.2,90.4,0.9,0.1
01/02/2011,80.5,4.7,90.5,0.2,90.8,0.5,0.3
01/03/2011,92.0,-1.3,90.7,0.3,88.7,-2.3,-2.0
01/04/2011,93.9,6.2,91.0,0.2,93.3,5.1,2.3
01/05/2011,92.6,6.1,91.2,0.2,90.7,-2.7,-0.4
01/06/2011,87.6,-0.6,91.4,0.2,90.7,-0.1,-0.7
01/07/2011,90.6,-0.9,91.7,0.3,91.8,1.2,0.1
01/08/2011,90.1,5.3,91.9,0.3,92.2,0.4,0.2
01/09/2011,91.4,3.2,92.2,0.3,92.4,0.2,0.2
01/10/2011,94.6,1.6,92.4,0.2,92.6,0.2,0.1
01/11/2011,96.1,2.7,92.6,0.2,92.4,-0.2,-0.2
01/12/2011,109.5,2.0,92.8,0.2,92.8,0.4,-0.0
01/01/2012,84.5,3.8,92.9,0.2,92.4,-0.4,-0.6
01/02/2012,84.2,4.6,93.1,0.2,93.6,1.4,0.5
01/03/2012,97.8,6.3,93.3,0.2,94.5,1.0,1.3
01/04/2012,91.3,-2.8,93.4,0.1,92.1,-2.5,-1.2
01/05/2012,93.9,1.4,93.5,0.1,93.5,1.5,-0.0
01/06/2012,93.4,6.6,93.6,0.2,94.8,1.5,1.2
01/07/2012,91.3,0.8,93.7,0.1,92.5,-2.4,-1.2
01/08/2012,91.9,2.0,93.8,0.1,93.5,1.1,-0.3
01/09/2012,90.4,-1.1,94.0,0.2,94.2,0.8,0.3
01/10/2012,98.0,3.6,94.1,0.1,94.1,-0.1,0.1
01/11/2012,98.4,2.4,94.2,0.1,93.9,-0.3,-0.3
01/12/2012,108.3,-1.1,94.3,0.1,94.9,1.1,0.6
01/01/2013,87.6,3.7,94.4,0.1,94.7,-0.2,0.3
01/02/2013,82.4,-2.1,94.5,0.1,93.8,-1.0,-0.7
01/03/2013,96.2,-1.6,94.6,0.1,95.1,1.4,0.4
01/04/2013,94.9,3.9,94.8,0.1,93.8,-1.3,-0.9
01/05/2013,95.5,1.7,94.9,0.2,95.3,1.6,0.4
01/06/2013,92.4,-1.1,95.0,0.1,94.5,-0.9,-0.6
01/07/2013,96.1,5.3,95.2,0.2,95.8,1.4,0.6
01/08/2013,93.4,1.6,95.3,0.2,95.8,0.0,0.5
01/09/2013,91.4,1.1,95.4,0.1,95.0,-0.9,-0.5
01/10/2013,98.7,0.7,95.6,0.2,95.2,0.3,-0.4
01/11/2013,100.8,2.4,95.7,0.2,96.9,1.8,1.2
01/12/2013,109.4,1.0,95.8,0.1,95.1,-1.8,-0.7
