umsatz_im_einzelhandel_nach_ausgewhlten_wirtschaftszweigen,preisbereinigt_real,col_3,col_4,col_5,col_6,col_7
Datum;EinzelhandelmitNahrungsmittelnusw.(inVerkaufsr�umen),Messzahlen2015=100;EinzelhandelmitMotorenkraftstoffen(Tankstellen),Messzahlen2015=100;EinzelhandelmitKommunikations-undInformations�technik(inVerkaufs�r�umen),Messzahlen2015=100;EinzelhandelmitsonstigenHaushalts�ger�tenusw.(inVerkaufs�r�umen),Messzahlen2015=100;Einzelhandel(nichtinVerkaufs�r�umenu.�.),Messzahlen2015=100;Kfz-Handel,Instand�haltungundReparaturvonKfz
01/04/2020;98,5;105,5;65,9;95,6;171,4;72,4
01/05/2020;102,0;113,7;113,6;120,8;166,3;93,4
01/06/2020;101,9;114,0;120,6;115,5;161,8;106,9
01/07/2020;107,4;118,7;128,6;120,7;159,0;131,8
01/08/2020;103,4;116,7;121,3;109,3;152,2;106,2
01/09/2020;100,6;117,1;123,9;113,2;161,8;122,5
01/10/2020;104,6;119,8;144,6;124,8;183,3;130,5
01/11/2020;98,6;113,7;181,1;130,7;219,2;128,7
01/12/2020;114,3;113,5;160,5;114,9;221,1;119,8
01/01/2021;86,2;94,9;71,9;54,6;178,9;85,1
01/02/2021;87,9;96,6;75,1;63,9;172,9;97,5
01/03/2021;105,5;113,8;104,6;118,6;208,3;133,4
01/04/2021;99,5;110,9;85,3;99,2;187,9;118,4
01/05/2021;102,7;115,3;87,0;102,5;186,9;113,7
01/06/2021;107,8;121,7;116,4;120,5;183,0;124,9
01/07/2021;107,3;122,9;121,0;115,5;158,8;117,2
01/08/2021;98,0;118,1;118,1;109,0;159,2;106,1
01/09/2021;98,0;120,6;121,2;106,8;167,0;116,4
01/10/2021;101,2;122,5;129,3;116,7;177,7;119,0
01/11/2021;101,8;115,7;158,4;121,2;227,0;121,0
01/12/2021;116,4;112,9;170,9;113,7;213,9;111,1
01/01/2022;86,9;103,9;127,4;97,5;166,7;98,8
01/02/2022;89,1;103,3;111,2;100,7;158,8;104,8
01/03/2022;99,2;108,7;118,7;123,1;179,9;122,9
01/04/2022;102,2;105,4;109,3;114,7;166,1;104,3
01/05/2022;103,6;112,5;105,5;114,7;169,2;117,4
01/06/2022;99,9;117,7;106,6;102,7;157,0;116,7
01/07/2022;99,2;120,0;112,2;102,5;159,9;108,7
01/08/2022;95,5;125,9;113,0;98,2;157,2;107,4
01/09/2022;90,7;110,9;123,4;101,9;165,5;120,8
01/10/2022;90,6;115,0;124,2;103,1;164,4;112,6
01/11/2022;91,4;113,2;152,4;110,0;208,3;124,2
01/12/2022;105,5;113,4;165,4;106,7;188,3;122,5
01/01/2023;78,3;101,5;131,2;88,6;160,7;104,4
01/02/2023;78,9;98,9;116,7;88,4;147,0;110,1
01/03/2023;88,6;108,9;125,6;107,8;167,8;135,5
01/04/2023;86,6;105,9;108,0;98,3;151,9;108,9
01/05/2023;94,8;114,1;106,6;103,7;163,7;119,7
01/06/2023;96,1;114,1;112,1;99,5;159,7;127,4
01/07/2023;92,8;113,5;114,5;94,1;159,5;115,3
01/08/2023;88,5;112,5;113,2;91,7;151,9;113,6
01/09/2023;88,7;111,3;121,1;92,3;147,2;115,4
01/10/2023;87,2;112,8;127,7;96,9;166,3;118,5
01/11/2023;87,7;109,6;161,3;101,1;204,8;126,8
01/12/2023;100,1;109,3;166,2;95,3;181,1;111,7
01/01/2024;78,2;99,3;123,5;80,7;157,2;106,5
01/02/2024;81,3;98,4;115,0;86,6;145,3;117,2
01/03/2024;89,3;107,3;118,8;100,3;158,3;124,2
01/04/2024;88,4;110,4;114,3;102,2;160,5;123,5
01/05/2024;95,7;112,3;109,9;96,7;157,1;115,8
01/06/2024;93,0;111,4;119,5;91,9;153,6;120,9
01/07/2024;93,7;117,8;119,9;94,9;167,0;116,2
01/08/2024;91,9;113,9;114,7;88,2;162,9;105,4
01/09/2024;86,3;111,9;124,8;89,2;173,2;113,4
01/10/2024;89,7;115,4;135,0;98,8;189,9;123,4
01/11/2024;90,4;109,5;171,8;100,9;219,9;120,7
01/12/2024;99,0;107,7;176,3;92,9;212,6;103,7
01/01/2025;81,2;103,2;129,9;82,2;173,5;106,3
01/02/2025;78,9;99,9;115,4;81,7;162,3;111,1
01/03/2025;87,7;110,7;118,5;99,8;186,2;123,6
01/04/2025;92,8;112,9;113,8;100,7;181,3;116,7
01/05/2025;97,3;116,4;111,3;99,7;181,1;116,1
01/06/2025;92,7;114,2;113,5;90,0;178,9;115,0
01/07/2025;93,6;117,2;121,2;94,6;191,1;120,3
01/08/2025;87,9;112,9;113,7;85,5;167,4;103,9
01/09/2025;85,7;110,9;129,5;90,1;183,9;119,2
01/10/2025;89,5;113,5;141,8;96,4;196,2;122,8
01/11/2025;87,4;109,1;169,1;96,9;224,9;117,3
01/12/2025;99,5;109,4;184,2;96,7;225,9;106,3
01/01/2026;79,9;99,0;125,6;78,6;179,1;101,7
01/02/2026;78,1;96,5;118,0;80,8;166,9;108,7
01/03/2026;86,5;101,2;122,9;98,6;194,7;,
