datum,originalwert_messzahlen_2015100,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,trendkonjunkturkomponente_bv_41_messzahlen_2015100,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,kalender_und_saisonbereinigte_werte_bv_41_messzahlen_2015100,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vormonat_in_,restkomponente_bv_41
01/02/2015,92.0,1.0,100.5,-0.1,101.0,0.5,0.5
01/03/2015,108.2,5.4,100.4,-0.1,101.0,0.0,0.6
01/04/2015,99.9,-1.8,100.2,-0.2,99.7,-1.3,-0.5
01/05/2015,93.1,-5.0,100.0,-0.2,99.7,0.0,-0.3
01/06/2015,102.7,5.2,99.9,-0.1,99.6,-0.1,-0.3
01/07/2015,103.1,-0.4,99.7,-0.1,100.2,0.6,0.5
01/08/2015,93.2,-1.0,99.6,-0.1,99.8,-0.4,0.2
01/09/2015,104.8,-1.9,99.5,-0.1,99.2,-0.6,-0.3
01/10/2015,104.5,-3.6,99.4,-0.1,98.6,-0.7,-0.9
01/11/2015,102.6,1.5,99.4,-0.0,99.6,1.1,0.2
01/12/2015,104.6,3.4,99.4,0.0,100.3,0.7,0.9
01/01/2016,87.3,-4.5,99.4,-0.0,100.0,-0.3,0.6
01/02/2016,94.4,2.6,99.4,-0.0,98.3,-1.7,-1.0
01/03/2016,105.1,-2.9,99.4,0.0,98.9,0.6,-0.5
01/04/2016,102.0,2.1,99.4,0.1,99.8,0.9,0.4
01/05/2016,98.3,5.6,99.5,0.1,100.1,0.3,0.6
01/06/2016,105.0,2.2,99.6,0.1,99.5,-0.5,-0.1
01/07/2016,95.4,-7.5,99.8,0.2,99.2,-0.3,-0.6
01/08/2016,99.8,7.1,100.1,0.3,99.9,0.7,-0.3
01/09/2016,104.8,0.0,100.5,0.4,100.4,0.6,-0.1
01/10/2016,101.1,-3.3,101.0,0.4,101.4,0.9,0.4
01/11/2016,107.6,4.9,101.4,0.5,100.8,-0.5,-0.6
01/12/2016,103.9,-0.7,102.0,0.5,100.9,0.1,-1.1
01/01/2017,94.0,7.7,102.6,0.6,101.9,0.9,-0.7
01/02/2017,95.9,1.6,103.2,0.6,104.3,2.4,1.1
01/03/2017,115.4,9.8,103.8,0.6,104.6,0.3,0.8
01/04/2017,98.1,-3.8,104.3,0.5,104.3,-0.3,-0.0
01/05/2017,109.2,11.1,104.8,0.5,104.9,0.5,0.1
